module,submodule,name,material,w,h,eT,eB,eL,eR,f2.0,f0.4,ww,hh,S,P
SimpleCabinet,SimpleCabinet,work_surface,WorkSurface28.0,600.000,800.000,2.000,2.000,2.000,2.000,2.800,0,596.000,796.000,0.480,2.800
SimpleCabinet,SimpleCabinet,base,MDF16.0,800.000,100.000,0.400,0.400,0.400,0.400,0.000,1,799.200,99.200,0.080,1.800
SimpleCabinet,SimpleCabinet,backdrop,HDF4.0,798.000,670.000,0.000,0.000,0.000,0.000,,,798.000,670.000,0.535,2.936
SimpleCabinet,SimpleCabinet,bottom_side,MDF16.0,480.000,800.000,2.000,2.000,2.000,0.400,1.760,0,477.600,796.000,0.384,2.560
SimpleCabinet,SimpleCabinet,left_side,MDF16.0,480.000,656.000,2.000,2.000,0.400,2.000,1.616,0,477.600,652.000,0.315,2.272
SimpleCabinet,SimpleCabinet,right_side,MDF16.0,480.000,656.000,2.000,2.000,0.400,2.000,1.616,0,477.600,652.000,0.315,2.272
SimpleCabinet,SimpleCabinet,top_link,MDF16.0,70.000,768.000,0.400,0.400,2.000,0.400,0.768,0,67.600,767.200,0.054,1.676
SimpleCabinet,SimpleCabinet,top_link,MDF16.0,70.000,768.000,0.400,0.400,0.400,0.400,0.000,1,69.200,767.200,0.054,1.676
SimpleCabinet,SimpleCabinet,shelf,MDF16.0,440.000,768.000,0.400,0.400,2.000,0.400,0.768,1,437.600,767.200,0.338,2.416
SimpleCabinet,SimpleCabinet,door,FACADE16.0,398.000,670.000,2.000,2.000,2.000,2.000,2.136,0,394.000,666.000,0.267,2.136
SimpleCabinet,SimpleCabinet,door,FACADE16.0,398.000,670.000,2.000,2.000,2.000,2.000,2.136,0,394.000,666.000,0.267,2.136
CabinetWithExtFrame,CabinetWithExtFrame,work_surface,WorkSurface28.0,600.000,1250.000,2.000,2.000,2.000,2.000,3.700,0,596.000,1246.000,0.750,3.700
CabinetWithExtFrame,CabinetWithExtFrame,left_ext_side,MDF25.0,496.000,772.000,2.000,2.000,0.400,2.000,1.764,0,493.600,768.000,0.383,2.536
CabinetWithExtFrame,CabinetWithExtFrame,right_ext_side,MDF25.0,550.000,772.000,2.000,2.000,0.400,2.000,1.872,0,547.600,768.000,0.425,2.644
CabinetWithExtFrame,CabinetWithExtFrame,base,MDF16.0,1200.000,100.000,0.400,0.400,0.400,0.400,0.000,2,1199.200,99.200,0.120,2.600
CabinetWithExtFrame,CabinetWithExtFrame,backdrop,HDF4.0,1223.000,670.000,0.000,0.000,0.000,0.000,,,1223.000,670.000,0.819,3.786
CabinetWithExtFrame,CabinetWithExtFrame,bottom_side,MDF16.0,480.000,1200.000,2.000,2.000,2.000,0.400,2.160,1,477.600,1196.000,0.576,3.360
CabinetWithExtFrame,CabinetWithExtFrame,right_side,MDF16.0,480.000,656.000,2.000,2.000,0.400,2.000,1.616,0,477.600,652.000,0.315,2.272
CabinetWithExtFrame,CabinetWithExtFrame,separator,MDF16.0,480.000,656.000,0.400,0.400,0.400,2.000,0.656,1,477.600,655.200,0.315,2.272
CabinetWithExtFrame,CabinetWithExtFrame,top_link,MDF16.0,70.000,792.000,0.400,0.400,2.000,0.400,0.792,0,67.600,791.200,0.055,1.724
CabinetWithExtFrame,CabinetWithExtFrame,top_link,MDF16.0,70.000,792.000,0.400,0.400,0.400,0.400,0.000,1,69.200,791.200,0.055,1.724
CabinetWithExtFrame,CabinetWithExtFrame,door,FACADE16.0,397.500,670.000,2.000,2.000,2.000,2.000,2.135,0,393.500,666.000,0.266,2.135
CabinetWithExtFrame,CabinetWithExtFrame,door,FACADE16.0,397.500,670.000,2.000,2.000,2.000,2.000,2.135,0,393.500,666.000,0.266,2.135
CabinetWithExtFrame,CabinetWithExtFrame,top_link,MDF16.0,70.000,376.000,0.400,0.400,2.000,0.400,0.376,0,67.600,375.200,0.026,0.892
CabinetWithExtFrame,CabinetWithExtFrame,top_link,MDF16.0,70.000,376.000,0.400,0.400,0.400,0.400,0.000,0,69.200,375.200,0.026,0.892
CabinetWithExtFrame,CabinetWithExtFrame,drawer_facade,FACADE16.0,397.000,98.000,2.000,2.000,2.000,2.000,0.990,0,393.000,94.000,0.039,0.990
CabinetWithExtFrame,drawer_facade,drawer_bottom,HDF4.0,465.000,350.000,0.000,0.000,0.000,0.000,,,465.000,350.000,0.163,1.630
CabinetWithExtFrame,drawer_facade,drawer_side,MDF16.0,465.000,64.000,2.000,0.400,0.400,0.400,0.465,0,464.200,61.600,0.030,1.058
CabinetWithExtFrame,drawer_facade,drawer_side,MDF16.0,465.000,64.000,2.000,0.400,0.400,0.400,0.465,0,464.200,61.600,0.030,1.058
CabinetWithExtFrame,drawer_facade,drawer_front,MDF16.0,318.000,64.000,2.000,0.400,0.400,0.400,0.318,0,317.200,61.600,0.020,0.764
CabinetWithExtFrame,drawer_facade,drawer_back,MDF16.0,318.000,64.000,2.000,0.400,0.400,0.400,0.318,0,317.200,61.600,0.020,0.764
CabinetWithExtFrame,CabinetWithExtFrame,drawer_facade,FACADE16.0,397.000,148.000,2.000,2.000,2.000,2.000,1.090,0,393.000,144.000,0.059,1.090
CabinetWithExtFrame,drawer_facade.001,drawer_bottom,HDF4.0,465.000,350.000,0.000,0.000,0.000,0.000,,,465.000,350.000,0.163,1.630
CabinetWithExtFrame,drawer_facade.001,drawer_side,MDF16.0,465.000,129.000,2.000,0.400,0.400,0.400,0.465,0,464.200,126.600,0.060,1.188
CabinetWithExtFrame,drawer_facade.001,drawer_side,MDF16.0,465.000,129.000,2.000,0.400,0.400,0.400,0.465,0,464.200,126.600,0.060,1.188
CabinetWithExtFrame,drawer_facade.001,drawer_front,MDF16.0,318.000,129.000,2.000,0.400,0.400,0.400,0.318,0,317.200,126.600,0.041,0.894
CabinetWithExtFrame,drawer_facade.001,drawer_back,MDF16.0,318.000,129.000,2.000,0.400,0.400,0.400,0.318,0,317.200,126.600,0.041,0.894
CabinetWithExtFrame,CabinetWithExtFrame,drawer_facade,FACADE16.0,397.000,148.000,2.000,2.000,2.000,2.000,1.090,0,393.000,144.000,0.059,1.090
CabinetWithExtFrame,drawer_facade.002,drawer_bottom,HDF4.0,465.000,350.000,0.000,0.000,0.000,0.000,,,465.000,350.000,0.163,1.630
CabinetWithExtFrame,drawer_facade.002,drawer_side,MDF16.0,465.000,129.000,2.000,0.400,0.400,0.400,0.465,0,464.200,126.600,0.060,1.188
CabinetWithExtFrame,drawer_facade.002,drawer_side,MDF16.0,465.000,129.000,2.000,0.400,0.400,0.400,0.465,0,464.200,126.600,0.060,1.188
CabinetWithExtFrame,drawer_facade.002,drawer_front,MDF16.0,318.000,129.000,2.000,0.400,0.400,0.400,0.318,0,317.200,126.600,0.041,0.894
CabinetWithExtFrame,drawer_facade.002,drawer_back,MDF16.0,318.000,129.000,2.000,0.400,0.400,0.400,0.318,0,317.200,126.600,0.041,0.894
CabinetWithExtFrame,CabinetWithExtFrame,drawer_facade,FACADE16.0,397.000,270.000,2.000,2.000,2.000,2.000,1.334,0,393.000,266.000,0.107,1.334
CabinetWithExtFrame,drawer_facade.003,drawer_bottom,HDF4.0,465.000,350.000,0.000,0.000,0.000,0.000,,,465.000,350.000,0.163,1.630
CabinetWithExtFrame,drawer_facade.003,drawer_side,MDF16.0,465.000,234.000,2.000,0.400,0.400,0.400,0.465,0,464.200,231.600,0.109,1.398
CabinetWithExtFrame,drawer_facade.003,drawer_side,MDF16.0,465.000,234.000,2.000,0.400,0.400,0.400,0.465,0,464.200,231.600,0.109,1.398
CabinetWithExtFrame,drawer_facade.003,drawer_front,MDF16.0,318.000,234.000,2.000,0.400,0.400,0.400,0.318,0,317.200,231.600,0.074,1.104
CabinetWithExtFrame,drawer_facade.003,drawer_back,MDF16.0,318.000,234.000,2.000,0.400,0.400,0.400,0.318,0,317.200,231.600,0.074,1.104
TopCabinet,TopCabinet,backdrop,HDF4.0,798.000,798.000,0.000,0.000,0.000,0.000,,,798.000,798.000,0.637,3.192
TopCabinet,TopCabinet,top_side,MDF16.0,380.000,800.000,2.000,2.000,2.000,0.400,1.560,0,377.600,796.000,0.304,2.360
TopCabinet,TopCabinet,left_side,MDF16.0,380.000,784.000,2.000,2.000,0.400,2.000,1.544,0,377.600,780.000,0.298,2.328
TopCabinet,TopCabinet,right_side,MDF16.0,380.000,784.000,2.000,2.000,0.400,2.000,1.544,0,377.600,780.000,0.298,2.328
TopCabinet,TopCabinet,bottom_side,MDF16.0,380.000,768.000,2.000,2.000,2.000,0.400,1.528,0,377.600,764.000,0.292,2.296
TopCabinet,TopCabinet,shelf,MDF16.0,340.000,768.000,0.400,0.400,2.000,0.400,0.768,1,337.600,767.200,0.261,2.216
TopCabinet,TopCabinet,door,FACADE16.0,398.000,800.000,2.000,2.000,2.000,2.000,2.396,0,394.000,796.000,0.318,2.396
TopCabinet,TopCabinet,door,FACADE16.0,398.000,800.000,2.000,2.000,2.000,2.000,2.396,0,394.000,796.000,0.318,2.396
TopCabinet.001,TopCabinet.001,top_ext_side,MDF25.0,396.000,1250.000,2.000,2.000,2.000,0.400,2.042,1,393.600,1246.000,0.495,3.292
TopCabinet.001,TopCabinet.001,left_ext_side,MDF25.0,396.000,775.000,2.000,2.000,0.400,2.000,1.567,0,393.600,771.000,0.307,2.342
TopCabinet.001,TopCabinet.001,right_ext_side,MDF25.0,396.000,775.000,2.000,2.000,0.400,2.000,1.567,0,393.600,771.000,0.307,2.342
TopCabinet.001,TopCabinet.001,bottom_ext_side,MDF25.0,396.000,1200.000,2.000,2.000,2.000,0.400,1.992,1,393.600,1196.000,0.475,3.192
TopCabinet.001,TopCabinet.001,backdrop,HDF4.0,1248.000,798.000,0.000,0.000,0.000,0.000,,,1248.000,798.000,0.996,4.092
TopCabinet.001,TopCabinet.001,separator,MDF16.0,380.000,750.000,0.400,0.400,0.400,2.000,0.750,1,377.600,749.200,0.285,2.260
TopCabinet.001,TopCabinet.001,shelf,MDF16.0,340.000,792.000,0.400,0.400,2.000,0.400,0.792,1,337.600,791.200,0.269,2.264
TopCabinet.001,TopCabinet.001,shelf,MDF16.0,340.000,792.000,0.400,0.400,2.000,0.400,0.792,1,337.600,791.200,0.269,2.264
TopCabinet.001,TopCabinet.001,door,FACADE16.0,397.500,746.000,2.000,2.000,2.000,2.000,2.287,0,393.500,742.000,0.297,2.287
TopCabinet.001,TopCabinet.001,door,FACADE16.0,397.500,746.000,2.000,2.000,2.000,2.000,2.287,0,393.500,742.000,0.297,2.287
TopCabinet.001,TopCabinet.001,shelf,MDF16.0,340.000,392.000,0.400,0.400,2.000,0.400,0.392,1,337.600,391.200,0.133,1.464
TopCabinet.001,TopCabinet.001,door,FACADE16.0,397.000,746.000,2.000,2.000,2.000,2.000,2.286,0,393.000,742.000,0.296,2.286
Hood cabinet,Hood cabinet,backdrop,HDF4.0,598.000,663.000,0.000,0.000,0.000,0.000,,,598.000,663.000,0.396,2.522
Hood cabinet,Hood cabinet,top_side,MDF16.0,380.000,600.000,2.000,2.000,2.000,0.400,1.360,0,377.600,596.000,0.228,1.960
Hood cabinet,Hood cabinet,left_side,MDF16.0,380.000,784.000,2.000,2.000,0.400,2.000,1.544,0,377.600,780.000,0.298,2.328
Hood cabinet,Hood cabinet,right_side,MDF16.0,380.000,784.000,2.000,2.000,0.400,2.000,1.544,0,377.600,780.000,0.298,2.328
Hood cabinet,Hood cabinet,bottom_side,MDF16.0,380.000,568.000,2.000,2.000,2.000,0.400,1.328,0,377.600,564.000,0.216,1.896
Hood cabinet,Hood cabinet,shelf,MDF16.0,340.000,568.000,0.400,0.400,2.000,0.400,0.568,1,337.600,567.200,0.193,1.816
Hood cabinet,Hood cabinet,door,FACADE16.0,298.000,800.000,2.000,2.000,2.000,2.000,2.196,0,294.000,796.000,0.238,2.196
Hood cabinet,Hood cabinet,door,FACADE16.0,298.000,800.000,2.000,2.000,2.000,2.000,2.196,0,294.000,796.000,0.238,2.196
RoomCabinet1,RoomCabinet1,top_ext_side,MDF225.0,596.000,850.000,2.000,2.000,2.000,0.400,2.042,0,593.600,846.000,0.507,2.892
RoomCabinet1,RoomCabinet1,left_ext_side,MDF225.0,596.000,1975.000,2.000,2.000,0.400,2.000,3.167,1,593.600,1971.000,1.177,5.142
RoomCabinet1,RoomCabinet1,right_ext_side,MDF225.0,596.000,1975.000,2.000,2.000,0.400,2.000,3.167,1,593.600,1971.000,1.177,5.142
RoomCabinet1,RoomCabinet1,base,MDF216.0,800.000,100.000,0.400,0.400,0.400,0.400,0.000,1,799.200,99.200,0.080,1.800
RoomCabinet1,RoomCabinet1,backdrop,HDF4.0,848.000,1898.000,0.000,0.000,0.000,0.000,,,848.000,1898.000,1.610,5.492
RoomCabinet1,RoomCabinet1,bottom_side,MDF216.0,580.000,800.000,2.000,2.000,2.000,0.400,1.960,0,577.600,796.000,0.464,2.760
RoomCabinet1,RoomCabinet1,shelf,MDF216.0,540.000,800.000,0.400,0.400,2.000,0.400,0.800,1,537.600,799.200,0.432,2.680
RoomCabinet1,RoomCabinet1,shelf,MDF216.0,540.000,800.000,0.400,0.400,2.000,0.400,0.800,1,537.600,799.200,0.432,2.680
RoomCabinet1,RoomCabinet1,shelf,MDF216.0,540.000,800.000,0.400,0.400,2.000,0.400,0.800,1,537.600,799.200,0.432,2.680
RoomCabinet1,RoomCabinet1,shelf,MDF216.0,540.000,800.000,0.400,0.400,2.000,0.400,0.800,1,537.600,799.200,0.432,2.680
RoomCabinet1,RoomCabinet1,door,FACADE16.0,397.000,1873.000,2.000,2.000,2.000,2.000,4.540,0,393.000,1869.000,0.744,4.540
RoomCabinet1,RoomCabinet1,door,FACADE16.0,397.000,1873.000,2.000,2.000,2.000,2.000,4.540,0,393.000,1869.000,0.744,4.540
